Name,Height,Weight,Age,PTS,REB,AST,NETRTG
Aaron Gordon,6-8,235,25,12.4,5.7,3.2,2.1
Aaron Holiday,6-0,185,24,7.2,1.3,1.9,-0.2
Aaron Nesmith,6-5,215,21,4.7,2.8,0.5,-0.5
Abdel Nader,6-5,225,27,6.7,2.6,0.8,5
Adam Mokoka,6-4,190,22,1.1,0.4,0.4,-7.1
Al Horford,6-9,240,35,14.2,6.7,3.4,-6.9
Al-Farouq Aminu,6-8,220,30,4.4,4.8,1.3,-6.2
Alec Burks,6-6,214,29,12.7,4.6,2.2,5
Aleksej Pokusevski,7-0,190,19,8.2,4.7,2.2,-16.7
Alen Smailagic,6-10,215,20,1.9,1.1,0.3,-17.6
Alex Caruso,6-4,186,27,6.4,2.9,2.8,5.5
Alex Len,7-0,250,28,6.6,4.1,0.8,-4
Alfonzo McKinnie,6-7,215,28,3.1,1.4,0.2,0.7
Alize Johnson,6-7,212,25,5.2,5,0.8,-4.5
Amida Brimah,6-10,230,27,2.6,1.6,0.2,32.8
Amir Coffey,6-7,210,24,3.2,1,0.5,-1.2
Anderson Varejao,6-11,260,38,2.6,4,0.6,-37.6
Andre Drummond,6-10,279,27,14.9,12,2,-3.9
Andre Iguodala,6-6,215,37,4.4,3.5,2.3,-2.5
Andre Roberson,6-7,210,29,1.2,3,0.8,-18.4
Andrew Wiggins,6-7,197,26,18.6,4.9,2.4,-0.2
Anfernee Simons,6-3,181,22,7.8,2.2,1.4,0.8
Anthony Davis,6-10,253,28,21.8,7.9,3.1,5.2
Anthony Edwards,6-4,225,19,19.3,4.7,2.9,-5
Anthony Gill,6-7,230,28,3.1,2,0.4,-1.6
Anthony Lamb,6-6,227,23,5.5,2.9,1,-9.2
Anthony Tolliver,6-8,240,36,1.5,0.9,0.2,16.6
Anzejs Pasecniks,7-1,229,25,0,1,1,-104.4
Armoni Brooks,6-3,195,23,11.2,3.4,1.5,-11.7
Aron Baynes,6-10,260,34,6.1,5.2,0.9,-4.4
Ashton Hagans,6-3,190,21,0,0,0,-21.8
Austin Rivers,6-4,200,28,7.9,2.3,2.3,0
Avery Bradley,6-3,180,30,6.4,2.1,1.7,-10.2
Axel Toupane,6-7,210,28,1.8,0.8,0.5,-2.2
Bam Adebayo,6-9,255,23,18.7,9,5.4,0.6
Ben McLemore,6-3,195,28,7.7,1.9,0.7,-4.2
Ben Simmons,6-11,240,24,14.3,7.2,6.9,8
Bismack Biyombo,6-8,255,28,5,5.3,1.2,-8.9
Blake Griffin,6-9,250,32,11,4.9,3,2.1
Boban Marjanovic,7-4,290,32,4.7,3.9,0.3,5.9
Bobby Portis,6-10,250,26,11.4,7.1,1.1,5.1
Bogdan Bogdanovic,6-6,220,28,16.4,3.6,3.3,3.9
Bojan Bogdanovic,6-7,226,32,17,3.9,1.9,9.5
Bol Bol,7-2,220,21,2.2,0.8,0.2,-24.9
Brad Wanamaker,6-3,210,31,5.5,1.7,2.9,-5.7
Bradley Beal,6-3,207,28,31.3,4.7,4.4,-0.4
Brandon Clarke,6-8,215,24,10.3,5.6,1.6,0.2
Brandon Goodwin,6-0,180,25,4.9,1.5,2,-4.4
Brandon Ingram,6-8,190,23,23.8,4.9,4.9,1
Brian Bowen II,6-6,190,22,0.5,0.5,0,9.4
Brodric Thomas,6-5,185,24,3.9,1.7,0.9,-4.5
Brook Lopez,7-0,282,33,12.3,5,0.7,6.8
Bruce Brown,6-4,202,24,8.8,5.4,1.6,3.5
Bruno Caboclo,6-9,218,25,2.8,2.3,0.2,2.3
Bruno Fernando,6-9,240,22,1.5,2.4,0.3,-6
Bryn Forbes,6-2,205,27,10,1.6,0.6,2.7
Buddy Hield,6-4,220,28,16.6,4.7,3.6,-1.8
CJ Elleby,6-6,200,21,2.3,1.1,0.3,-5.3
CJ McCollum,6-3,190,29,23.1,3.9,4.7,6.2
Caleb Martin,6-5,205,25,5,2.7,1.3,-4.9
Cam Reddish,6-8,218,21,11.2,4,1.3,-4
Cameron Johnson,6-8,210,25,9.6,3.3,1.4,5.7
Cameron Oliver,6-8,225,24,10.8,5.3,1.3,-5.2
Cameron Payne,6-1,183,26,8.4,2.4,3.6,7.8
Cameron Reynolds,6-7,225,26,3,1,0.4,-28.3
Caris LeVert,6-6,205,26,20.2,4.6,5.2,-0.2
Carmelo Anthony,6-7,238,37,13.4,3.1,1.5,-0.6
Carsen Edwards,5-11,200,23,4,0.8,0.5,-4.1
Cassius Stanley,6-5,190,21,1.5,0.8,0,9.4
Cassius Winston,6-1,185,23,1.9,0.4,0.5,-21.4
Cedi Osman,6-7,230,26,10.4,3.4,2.9,-11
Chandler Hutchison,6-6,210,25,4.3,3.1,0.7,-5.2
Charlie Brown Jr.,6-6,199,24,4.4,1.9,1,-12.7
Chasson Randle,6-2,185,28,6.5,2,1.8,-15
Chimezie Metu,6-9,225,24,6.3,3.1,0.8,-7.8
Chris Boucher,6-9,200,28,13.6,6.7,1.1,3.8
Chris Chiozza,5-11,175,25,4,1.1,3,3
Chris Paul,6-0,175,36,16.4,4.5,8.9,6.5
Chris Silva,6-8,234,24,2.1,1.8,0.4,-0.5
Christian Wood,6-10,214,25,21,9.6,1.7,-3.8
Chuma Okeke,6-6,229,22,7.8,4,2.2,-7.2
Clint Capela,6-10,240,27,15.2,14.3,0.8,6.6
Coby White,6-5,195,21,15.1,4.1,4.8,-2.7
Cody Martin,6-5,205,25,4,3.1,1.7,1
Cody Zeller,6-11,240,28,9.4,6.8,1.8,2
Cole Anthony,6-2,185,21,12.9,4.7,4.1,-12.8
Collin Sexton,6-1,190,22,24.3,3.1,4.4,-9.2
Cory Joseph,6-3,200,29,8.2,2.5,3.4,-5.5
Cristiano Felicio,6-11,270,28,1.3,1.4,0.5,7.1
D'Angelo Russell,6-4,193,25,19,2.6,5.8,-7
D.J. Augustin,5-11,183,33,7.7,1.6,3.3,-1.8
D.J. Wilson,6-10,231,25,5.2,3.2,0.7,-11.3
DaQuan Jeffries,6-5,230,23,4.1,2.3,0.7,-4.5
Dakota Mathias,6-4,200,25,6,0.9,1.6,-10.6
Damian Jones,6-11,245,26,4.7,3.1,0.7,-5.1
Damian Lillard,6-2,195,30,28.8,4.2,7.5,4
Damion Lee,6-5,210,28,6.5,3.2,1.3,1.6
Damyean Dotson,6-5,210,27,6.7,2,2,-12.5
Daniel Gafford,6-10,234,22,7,4.3,0.5,4.1
Daniel Oturu,6-8,240,21,1.8,1.6,0.3,1.8
Daniel Theis,6-8,245,29,9.6,5.5,1.7,-1.3
Danilo Gallinari,6-10,233,32,13.3,4.1,1.5,2.7
Danny Green,6-6,215,34,9.5,3.8,1.7,7.1
Dante Exum,6-5,214,25,3.8,2.8,2.2,3.6
Danuel House Jr.,6-6,220,28,8.8,3.7,1.9,-11.2
Dario Saric,6-10,225,27,8.7,3.8,1.3,11.5
Darius Bazley,6-8,208,21,13.7,7.2,1.8,-13.1
Darius Garland,6-1,192,21,17.4,2.4,6.1,-6.6
Darius Miller,6-6,225,31,4.1,1.3,1.2,7.2
David Nwaba,6-5,219,28,9.2,3.9,1,-1.3
Davis Bertans,6-10,225,28,11.5,2.9,0.9,2.1
De'Aaron Fox,6-3,185,23,25.2,3.5,7.2,-4.5
De'Andre Hunter,6-8,225,23,15,4.8,1.9,5.5
De'Anthony Melton,6-2,200,23,9.1,3.1,2.5,6
DeAndre Jordan,6-11,265,32,7.5,7.5,1.6,-1.9
DeAndre' Bembry,6-5,210,26,5.7,2.9,2.1,0.4
DeMar DeRozan,6-6,220,31,21.6,4.2,6.9,-2.5
DeMarcus Cousins,6-10,270,30,8.9,6.4,1.9,-3.2
Dean Wade,6-9,228,24,6,3.4,1.2,-9
Deandre Ayton,6-11,250,22,14.4,10.5,1.4,6.3
Deividas Sirvydis,6-8,190,21,2.1,1.5,0.3,-9.7
Dejounte Murray,6-4,180,24,15.7,7.1,5.4,2.3
Delon Wright,6-5,185,29,10.2,4.3,4.4,-3.5
Deni Avdija,6-9,210,20,6.3,4.9,1.2,-2.1
Dennis Schroder,6-3,172,27,15.4,3.5,5.8,2.2
Dennis Smith Jr.,6-2,205,23,6.7,2.4,3.3,-2.2
Denzel Valentine,6-4,220,27,6.5,3.2,1.7,1
Derrick Favors,6-9,265,29,5.4,5.5,0.6,2.6
Derrick Jones Jr.,6-5,210,24,6.8,3.5,0.8,-0.8
Derrick Rose,6-2,200,32,14.7,2.6,4.2,4.9
Derrick White,6-4,190,26,15.4,3,3.5,5.1
Desmond Bane,6-5,215,23,9.2,3.1,1.7,0.4
Devin Booker,6-5,206,24,25.6,4.2,4.3,7.2
